ID SeqNum Temperature Humidity Light Time
1 770 21 25 44 38573 
2 638 20 27 65 31973 
1 771 21 25 44 38623 
2 639 20 27 64 32023 
1 772 21 25 39 38673 
2 640 20 27 69 32073 
1 773 21 25 32 38724 
2 641 20 27 63 32123 
1 774 21 25 39 38773 
2 642 20 27 69 32173 
1 775 21 25 42 38823 
2 643 20 27 63 32223 
1 776 21 25 45 38873 
2 644 20 27 66 32273 
1 777 21 25 44 38923 
2 645 20 27 65 32323 
1 778 21 25 44 38973 
2 646 20 27 57 32373 
1 779 21 25 40 39023 
2 647 20 27 68 32423 
1 780 21 25 45 39073 
2 648 20 27 69 32473 
1 781 21 25 44 39123 
2 649 20 27 63 32523 
1 782 21 25 46 39173 
2 650 20 27 63 32573 
1 783 21 25 56 39223 
2 651 20 27 64 32623 
1 784 21 25 35 39273 
2 652 20 27 62 32673 
1 785 21 25 46 39323 
2 653 20 27 54 32723 
1 786 21 25 32 39373 
2 654 20 27 65 32773 
1 787 21 25 42 39423 
2 655 20 27 63 32823 
1 788 21 25 44 39473 
2 656 20 27 70 32873 
1 789 21 25 46 39523 
2 657 20 27 66 32923 
1 790 21 25 40 39573 
2 658 20 27 63 32973 
1 791 21 25 44 39623 
2 659 20 27 60 33023 
1 792 21 25 45 39673 
2 660 20 27 58 33073 
1 793 21 25 42 39723 
2 661 20 27 65 33123 
1 794 21 25 47 39773 
2 662 20 27 68 33173 
1 795 21 25 44 39823 
2 663 20 27 67 33223 
1 796 21 25 53 39873 
2 664 20 27 62 33273 
1 797 21 25 28 39923 
2 665 20 27 69 33323 
1 798 21 25 45 39973 
2 666 20 27 72 33373 
1 799 21 25 33 40023 
2 667 20 27 64 33423 
1 800 21 25 37 40073 
2 668 20 27 66 33473 
1 801 21 25 47 40123 
2 669 20 27 60 33523 
1 802 21 25 42 40173 
2 670 20 27 68 33573 
1 803 21 25 46 40223 
2 671 20 27 66 33623 
1 804 21 25 43 40273 
2 672 20 27 38 33673 
1 805 21 25 43 40323 
2 673 20 27 62 33723 
1 806 21 25 51 40373 
2 674 20 27 65 33773 
1 807 21 25 46 40423 
2 675 20 27 64 33823 
1 808 21 25 45 40473 
2 676 20 27 67 33873 
1 809 21 25 49 40523 
2 677 20 27 64 33923 
1 810 21 25 45 40573 
2 678 20 27 63 33973 
1 811 21 25 44 40623 
2 679 20 27 68 34023 
1 812 21 25 43 40673 
2 680 20 27 62 34073 
1 813 21 25 44 40723 
2 681 20 27 76 34123 
1 814 21 25 46 40773 
2 682 20 27 59 34173 
1 815 21 25 45 40823 
2 683 20 27 64 34223 
1 816 21 25 44 40873 
2 684 20 27 65 34273 
1 817 21 25 44 40923 
2 685 20 27 62 34323 
1 818 21 25 43 40973 
2 686 20 27 53 34373 
1 819 21 25 37 41023 
2 687 20 27 53 34423 
1 820 21 25 40 41073 
2 688 20 27 71 34473 
1 821 21 25 44 41123 
2 689 20 27 60 34523 
1 822 21 25 44 41173 
2 690 20 27 67 34573 
1 823 21 25 56 41223 
2 691 20 27 64 34623 
1 824 21 25 47 41273 
2 692 20 27 65 34673 
1 825 21 25 49 41323 
2 693 20 27 63 34723 
1 826 21 25 46 41373 
2 694 20 27 65 34773 
1 827 21 25 42 41423 
2 695 20 27 55 34823 
1 828 21 25 42 41473 
2 696 20 27 65 34873 
1 829 21 25 44 41523 
2 697 20 27 67 34923 
1 830 21 25 44 41573 
2 698 20 27 57 34973 
1 831 21 25 46 41623 
2 699 20 27 64 35023 
1 832 21 25 43 41673 
2 700 20 27 64 35073 
1 833 21 25 46 41723 
2 701 20 27 66 35123 
1 834 21 25 41 41773 
2 702 20 27 66 35173 
1 835 21 25 46 41823 
2 703 20 27 67 35223 
1 836 21 25 43 41873 
2 704 20 27 58 35273 
1 837 21 25 49 41923 
2 705 20 27 62 35323 
1 838 21 25 42 41973 
2 706 20 27 70 35373 
1 839 21 25 39 42023 
2 707 20 27 62 35423 
1 840 21 25 38 42073 
2 708 20 27 70 35473 
1 841 21 25 44 42123 
2 709 20 27 64 35523 
1 842 21 25 47 42173 
2 710 20 27 63 35573 
1 843 21 25 43 42223 
2 711 20 27 54 35623 
1 844 21 25 44 42273 
2 712 20 27 66 35673 
1 845 21 25 43 42323 
2 713 20 27 63 35723 
1 846 21 25 43 42373 
2 714 20 27 69 35773 
1 847 21 25 49 42423 
2 715 20 27 87 35823 
1 848 21 25 46 42473 
2 716 20 27 67 35873 
1 849 21 25 38 42523 
2 717 20 27 64 35923 
1 850 21 25 49 42573 
2 718 20 27 64 35973 
1 851 21 25 45 42623 
2 719 20 27 62 36023 
1 852 21 25 42 42673 
2 720 20 27 54 36073 
1 853 21 25 43 42723 
2 721 20 27 65 36123 
1 854 21 25 43 42773 
2 722 20 27 67 36173 
1 855 21 25 44 42823 
2 723 20 27 63 36223 
1 856 21 25 47 42873 
2 724 20 27 65 36273 
1 857 21 25 46 42923 
2 725 20 27 63 36323 
1 858 21 25 47 42973 
2 726 20 27 67 36373 
1 859 21 25 37 43023 
2 727 20 27 63 36423 
1 860 21 25 45 43073 
2 728 20 27 53 36473 
1 861 21 25 44 43123 
2 729 20 27 70 36523 
1 862 21 25 45 43173 
2 730 20 27 53 36573 
1 863 21 25 45 43223 
2 731 20 27 69 36623 
1 864 21 25 51 43274 
2 732 20 27 59 36673 
1 865 21 25 56 43323 
2 733 20 27 69 36723 
1 866 21 25 43 43373 
2 734 20 27 63 36773 
1 867 21 25 46 43423 
2 735 20 27 62 36823 
1 868 21 25 40 43473 
2 736 20 27 69 36873 
1 869 21 25 44 43523 
2 737 20 27 72 36923 
1 870 21 25 55 43573 
2 738 20 27 71 36973 
1 871 21 25 45 43623 
2 739 20 27 58 37023 
1 872 21 25 45 43673 
2 740 20 27 66 37073 
1 873 21 25 45 43723 
2 741 20 27 55 37123 
1 874 21 25 57 43773 
2 742 20 27 66 37173 
1 875 21 25 53 43823 
2 743 20 27 71 37223 
1 876 21 25 43 43873 
2 744 20 27 66 37273 
1 877 21 25 49 43923 
2 745 20 27 68 37323 
1 878 21 25 42 43973 
2 746 20 27 68 37373 
1 879 21 25 43 44023 
2 747 20 27 67 37423 
1 880 21 25 42 44073 
2 748 20 27 63 37473 
1 881 21 25 38 44123 
2 749 20 27 65 37523 
1 882 21 25 42 44173 
2 750 20 27 70 37573 
1 883 21 25 49 44223 
2 751 20 27 64 37623 
1 884 21 25 43 44273 
2 752 20 27 63 37673 
1 885 21 25 46 44323 
2 753 20 27 67 37723 
1 886 21 25 43 44373 
2 754 20 27 69 37773 
1 887 21 25 43 44423 
2 755 20 27 63 37823 
1 888 21 25 43 44473 
2 756 20 27 66 37873 
1 889 21 25 43 44523 
2 757 20 27 65 37923 
1 890 21 25 44 44573 
2 758 20 27 64 37973 
1 891 21 25 35 44623 
2 759 20 27 72 38023 
1 892 21 25 44 44673 
2 760 20 27 64 38073 
1 893 21 25 43 44723 
2 761 20 27 54 38123 
1 894 21 25 40 44773 
2 762 20 27 63 38173 
1 895 21 25 42 44823 
2 763 20 27 74 38223 
1 896 21 25 46 44873 
2 764 20 27 58 38273 
1 897 21 25 45 44923 
2 765 20 27 68 38323 
1 898 21 25 39 44973 
2 766 20 27 62 38373 
1 899 21 25 54 45023 
2 767 20 27 63 38423 
1 900 21 25 40 45073 
2 768 20 27 66 38473 
1 901 21 25 53 45123 
2 769 20 27 67 38523 
1 902 21 25 45 45173 
2 770 20 27 55 38573 
1 903 21 25 45 45223 
2 771 20 27 65 38623 
1 904 21 25 43 45273 
2 772 20 27 67 38673 
1 905 21 25 45 45323 
2 773 20 27 60 38723 
1 906 21 25 36 45373 
2 774 20 27 74 38773 
1 907 21 25 38 45423 
2 775 20 27 54 38823 
1 908 21 25 46 45473 
2 776 20 27 63 38873 
1 909 21 25 42 45523 
2 777 20 26 65 38923 
1 910 21 25 53 45573 
2 778 20 26 67 38973 
1 911 21 25 43 45623 
2 779 20 26 68 39023 
1 912 21 25 45 45673 
2 780 20 26 70 39073 
1 913 21 25 43 45723 
2 781 20 26 71 39123 
1 914 21 25 45 45773 
2 782 20 26 62 39173 
1 915 21 25 32 45823 
2 783 20 27 64 39223 
1 916 21 25 42 45873 
2 784 20 27 62 39273 
1 917 21 25 42 45923 
2 785 20 27 64 39323 
1 918 21 25 49 45973 
2 786 20 27 66 39373 
1 919 21 25 40 46023 
2 787 20 27 57 39423 
1 920 21 25 45 46073 
2 788 20 27 67 39473 
1 921 21 25 54 46123 
2 789 20 27 62 39523 
1 922 21 25 45 46173 
2 790 20 26 66 39573 
1 923 21 25 45 46223 
2 791 20 26 64 39623 
1 924 21 25 47 46273 
2 792 20 26 56 39673 
1 925 21 25 54 46323 
2 793 20 26 64 39723 
1 926 21 25 46 46373 
2 794 20 26 68 39774 
1 927 21 25 45 46423 
2 795 20 26 57 39823 
1 928 21 25 44 46473 
2 796 20 27 62 39873 
1 929 21 25 54 46523 
2 797 20 27 77 39923 
1 930 21 25 44 46573 
2 798 20 27 68 39973 
1 931 21 25 36 46623 
2 799 20 27 64 40023 
1 932 21 25 45 46673 
2 800 20 27 67 40073 
1 933 21 25 45 46723 
2 801 20 27 63 40123 
1 934 21 25 42 46773 
2 802 20 27 63 40173 
1 935 21 25 46 46823 
2 803 20 27 54 40223 
1 936 21 25 43 46873 
2 804 20 27 50 40273 
1 937 21 25 47 46923 
2 805 20 27 57 40323 
1 938 21 25 44 46973 
2 806 20 27 70 40373 
1 939 21 25 44 47023 
2 807 20 27 63 40423 
1 940 21 25 38 47073 
2 808 20 27 67 40473 
1 941 21 25 49 47123 
2 809 20 27 64 40523 
1 942 21 25 48 47173 
2 810 20 27 66 40573 
1 943 21 25 30 47223 
2 811 20 27 64 40623 
1 944 21 25 44 47273 
2 812 20 27 66 40673 
1 945 21 25 43 47323 
2 813 20 27 68 40723 
1 946 21 25 44 47373 
2 814 20 27 63 40773 
1 947 21 25 38 47423 
2 815 20 27 72 40823 
1 948 21 25 48 47473 
2 816 20 27 52 40873 
1 949 21 25 45 47523 
2 817 20 27 64 40923 
1 950 21 25 43 47573 
2 818 20 27 64 40973 
1 951 21 25 48 47623 
2 819 20 27 69 41023 
1 952 21 25 44 47673 
2 820 20 27 68 41073 
1 953 21 25 43 47723 
2 821 20 26 53 41123 
1 954 21 25 34 47773 
2 822 20 26 68 41173 
1 955 21 25 45 47823 
2 823 20 26 63 41223 
1 956 21 25 42 47873 
2 824 20 26 64 41273 
1 957 21 25 46 47923 
2 825 20 26 63 41323 
1 958 21 25 39 47973 
2 826 20 26 60 41373 
1 959 21 25 43 48023 
2 827 20 26 63 41423 
1 960 21 25 46 48073 
2 828 20 26 68 41473 
1 961 21 25 46 48123 
2 829 20 26 69 41523 
1 962 21 25 46 48173 
2 830 20 26 67 41573 
1 963 21 25 44 48223 
2 831 20 26 68 41623 
1 964 21 25 44 48273 
2 832 20 26 62 41673 
1 965 21 25 46 48323 
2 833 20 26 63 41723 
1 966 21 25 50 48373 
2 834 20 26 63 41773 
1 967 21 25 38 48423 
2 835 20 26 68 41823 
1 968 21 25 39 48473 
2 836 20 26 51 41873 
